question,answer
Can sensors be used?,"Yes, sensors can detect car presence. They update slot status automatically."
Is IoT included?,Not in basic version but can be added. It improves real-time accuracy.
How system tested?,By manually testing all functions. Ensured correct outputs.
Test cases?,"Login, booking, cancellation, billing tests. Each feature tested separately."
If parking is full?,System shows no available slots. User cannot book until free slot appears.
If user forgets checkout?,System calculates based on time or auto-checkout logic. Admin can also manually fix it.
Did you make diagrams?,"Yes, UML or flow diagrams can be used. They show system structure."
Why diagrams used?,To visually understand system design. Helps in development and explanation.
Where system runs?,On local server or cloud. Backend handles processing.
How accessed?,Through web browser or application. Depends on system type.
Is logging used?,"Yes, system can store user actions. Useful for debugging."
Future upgrades?,"AI prediction, IoT sensors, and mobile app. Also QR-based entry system."
AI use?,AI can predict peak parking hours. Helps optimize space usage.
Type of system?,It can be web-based or desktop-based system. It depends on implementation design.
Technologies used?,"Frontend: HTML/CSS/JS, Backend: FastAPI or Java. Database: CSV/MySQL for storing parking data."
Which slot is free?,The system scans slot status and returns free ones. It assigns the nearest or first available slot.
Parking duration?,Depends on entry and exit time. System tracks total duration automatically.
Billing method?,Based on time spent and rate per hour. System calculates total cost automatically.
Can I cancel booking?,"Yes, booking can be cancelled anytime. Slot becomes free again."
Slot allocation logic?,System checks first available or nearest slot. Then updates status to occupied.
REST API?,It allows communication between frontend and backend. Uses HTTP methods like GET/POST.
Frontend-backend connection?,Frontend sends API requests to backend. Backend responds in JSON format.
Why not only frontend?,Frontend alone cannot store or process data. Backend is needed for logic and storage.
Slot update process?,When car enters ? slot = occupied. When exits ? slot = free.
Why CSV or DB?,CSV is simple for small projects. Databases are better for large systems.
Data consistency?,System updates database immediately after actions. Ensures no mismatch in slot status.
Model used?,Incremental or prototype model. System built step-by-step with updates.
Limitations?,May not handle very large-scale real traffic. Depends on simulation or basic hardware.
Can admin change rules?,"Yes, pricing and slot rules can be updated. Admin has full control."
Authentication?,Users log in using username and password. System verifies credentials before access.
Security level?,Basic security like login protection is used. Can be improved with encryption and tokens.
Optimization?,Efficient queries and structured database. Reduces processing time.
What if two users book same slot?,System checks availability before confirmation. Only one user can reserve it.
How concurrency is handled?,Using validation before database update. Prevents double booking.
Is IoT implemented?,"Not in basic version, but can be added. It improves real-time accuracy."
How was system tested?,By manually testing all features. Ensured correct functionality.
System crash?,Data is stored in database so safe. Backup can restore system.
Did you create diagrams?,"Yes, system can include UML or flow diagrams. They show system structure and flow."
Where does system run?,It can run on local server or cloud. Backend handles all requests.
How is it accessed?,Through browser or desktop application. Depends on deployment type.
Do you track system activity?,"Yes, logs can store user actions. Helps in debugging and monitoring."
What is your Smart Park project?,It is a smart parking management system that helps users find and manage parking spaces efficiently. It automates parking slot allocation and tracking.
What is the main objective?,To manage parking slots efficiently using a digital system. And reduce manual effort in parking management.
Who are the users?,"Drivers, parking staff, and system administrators. Anyone who needs parking space management."
Web or desktop system?,"It depends on implementation, but usually it is a web-based system. It can also be converted into desktop or hybrid system."
How long can I park?,Parking time depends on system rules or admin settings. Time is tracked from entry to exit.
System architecture?,It follows a client-server architecture. Frontend handles UI and backend handles logic.
How does data flow?,User request goes to backend ? database ? response returned. This ensures smooth communication.
Why CSV or database?,CSV is simple for small projects and easy to manage. Databases are used for scalability and performance.
How is slot assigned?,System checks first available or best-fit slot. Then marks it as occupied in database.
What is REST API?,It is a way for frontend and backend to communicate. It uses HTTP methods like GET and POST.
How do frontend and backend connect?,Frontend sends requests to API endpoints. Backend processes and returns JSON response.
What data is stored?,"User info, vehicle details, slot status, and timestamps. Also booking and billing records."
What model did you follow?,Mostly incremental or prototype model. System is built step-by-step with improvements.
Can AI be added?,"Yes, AI can predict parking demand. It can also suggest best parking times."
If two users book same slot?,System uses locking or checking before assignment. Only one booking is allowed per slot.
What if system crashes?,Data is stored in database so it can be recovered. Backup system ensures safety.
What if parking is full?,System shows �No slots available� message. User can wait or reserve later.
How did you test system?,By checking all features manually and with test cases. Ensured correct slot allocation and billing.
What test cases used?,"Booking, cancellation, login, and slot update tests. Each function was tested separately."
Hello,"Hy how are you, hope are doing well."
How do i register?,For this you have to goto the Register section and enter credentials and you you will be registered.
Hello my name is Afaq.,"Hy how are you, hope are doing well. My name is Smart Park."
Can i book two slots at a time.,"unfortutanely No, You can book one at a time."
When you were created?,i was created in the 2026.
How developed you?,A software enginner Afaq Ahmed created my me as a semester project.
do you have an amdin portal?,"Yes we have admin portal and is accessed by Afaq Ahmed, Faizan Rasool, Haider Rasool"
where  is your location?,"My  Loccation is in London , UK."
"what a coincidence, i am also from London.","Nice, it'a wonderful city. I really love it."
i have never been there,Oh sad! you should visit it's a lovely city.
Are there any special places to visit in london?,"Yes there are many places to visit, Like london bridge etc."
