Date,Year,Month,Day,Day_of_Week,Total_Parking_Slots,Occupied_Slots,Available_Slots,Occupancy_Rate_Percentage,Total_Bookings,Peak_Hour_Start,Peak_Hour_End,Peak_Hour_Bookings,Revenue_PKR,Operating_Cost_PKR,Maintenance_Cost_PKR,Net_Profit_PKR,Average_Parking_Duration_Hours
2023-02-16,2023,2,16,Thursday,100,43,57,43.0,78,12:00,14:00,20,16814.07,9535.57,0,7278.5,4.75
2023-02-17,2023,2,17,Friday,100,59,41,59.0,118,17:00,20:00,42,24127.68,11135.65,0,12992.03,5.14
2023-02-18,2023,2,18,Saturday,100,54,46,54.0,101,12:00,14:00,29,26071.08,10378.03,0,15693.05,3.63
2023-02-19,2023,2,19,Sunday,100,77,23,77.0,114,12:00,14:00,42,22458.34,11767.78,0,10690.56,2.88
2023-02-20,2023,2,20,Monday,100,46,54,46.0,85,12:00,14:00,29,17962.5,9777.32,0,8185.18,4.61
2023-02-21,2023,2,21,Tuesday,100,42,58,42.0,72,17:00,20:00,24,14055.74,9786.06,0,4269.68,2.45
2023-02-22,2023,2,22,Wednesday,100,37,63,37.0,52,08:00,10:00,17,12493.57,9654.8,0,2838.77,2.82
2023-02-23,2023,2,23,Thursday,100,44,56,44.0,88,08:00,10:00,23,14169.79,10045.95,0,4123.84,4.61
2023-02-24,2023,2,24,Friday,100,41,59,41.0,67,08:00,10:00,17,17450.75,10013.6,0,7437.15,4.31
2023-02-25,2023,2,25,Saturday,100,71,29,71.0,160,08:00,10:00,46,34596.92,10949.87,0,23647.05,3.95
2023-02-26,2023,2,26,Sunday,100,54,46,54.0,122,12:00,14:00,42,27193.0,10967.54,0,16225.46,3.02
2023-02-27,2023,2,27,Monday,100,47,53,47.0,74,12:00,14:00,26,15311.83,9794.47,0,5517.36,4.83
2023-02-28,2023,2,28,Tuesday,100,56,44,56.0,100,12:00,14:00,39,20338.0,11156.52,0,9181.48,1.43
2023-03-01,2023,3,1,Wednesday,100,59,41,59.0,114,17:00,20:00,36,23575.06,10487.87,8563.09,4524.1,2.03
2023-03-02,2023,3,2,Thursday,100,52,48,52.0,81,08:00,10:00,32,20223.76,11256.93,0,8966.83,3.8
2023-03-03,2023,3,3,Friday,100,57,43,57.0,98,12:00,14:00,29,26076.99,11254.93,0,14822.06,2.77
2023-03-04,2023,3,4,Saturday,100,69,31,69.0,102,17:00,20:00,30,26850.02,10923.85,0,15926.17,3.04
2023-03-05,2023,3,5,Sunday,100,77,23,77.0,147,08:00,10:00,56,30165.37,11240.5,0,18924.87,5.29
2023-03-06,2023,3,6,Monday,100,59,41,59.0,132,12:00,14:00,47,22437.02,10795.31,0,11641.71,1.73
2023-03-07,2023,3,7,Tuesday,100,53,47,53.0,111,08:00,10:00,44,25039.66,10721.66,0,14318.0,5.29
2023-03-08,2023,3,8,Wednesday,100,61,39,61.0,109,08:00,10:00,42,23307.28,11102.1,0,12205.18,3.38
2023-03-09,2023,3,9,Thursday,100,58,42,58.0,72,12:00,14:00,27,16124.93,10707.72,0,5417.21,3.82
2023-03-10,2023,3,10,Friday,100,51,49,51.0,80,08:00,10:00,28,17523.2,11053.27,0,6469.93,5.29
2023-03-11,2023,3,11,Saturday,100,62,38,62.0,135,17:00,20:00,37,35128.43,11299.06,0,23829.37,3.02
2023-03-12,2023,3,12,Sunday,100,76,24,76.0,108,17:00,20:00,43,18112.73,10846.98,0,7265.75,5.7
2023-03-13,2023,3,13,Monday,100,64,36,64.0,97,08:00,10:00,35,23555.64,10671.11,0,12884.53,5.67
2023-03-14,2023,3,14,Tuesday,100,57,43,57.0,74,12:00,14:00,28,15444.45,11537.75,0,3906.7,3.09
2023-03-15,2023,3,15,Wednesday,100,53,47,53.0,90,12:00,14:00,25,15883.31,10116.91,0,5766.4,1.75
2023-03-16,2023,3,16,Thursday,100,53,47,53.0,82,08:00,10:00,30,21104.3,9764.51,0,11339.79,2.8
2023-03-17,2023,3,17,Friday,100,66,34,66.0,111,08:00,10:00,44,27646.5,10654.5,0,16992.0,2.88
2023-03-18,2023,3,18,Saturday,100,84,16,84.0,129,17:00,20:00,46,30617.69,11309.2,5102.96,14205.53,3.43
2023-03-19,2023,3,19,Sunday,100,76,24,76.0,108,12:00,14:00,39,26287.77,11213.33,0,15074.44,3.98
2023-03-20,2023,3,20,Monday,100,50,50,50.0,100,08:00,10:00,29,23683.76,9106.35,0,14577.41,3.31
2023-03-21,2023,3,21,Tuesday,100,56,44,56.0,122,17:00,20:00,48,23049.99,10744.38,0,12305.61,4.96
2023-03-22,2023,3,22,Wednesday,100,54,46,54.0,103,17:00,20:00,31,24845.69,10039.02,0,14806.67,2.67
2023-03-23,2023,3,23,Thursday,100,81,19,81.0,137,17:00,20:00,44,35552.33,11032.64,0,24519.69,5.02
2023-03-24,2023,3,24,Friday,100,61,39,61.0,99,08:00,10:00,39,18862.88,10376.6,3484.05,5002.23,5.19
2023-03-25,2023,3,25,Saturday,100,73,27,73.0,128,17:00,20:00,49,29431.32,11679.28,0,17752.04,3.89
2023-03-26,2023,3,26,Sunday,100,61,39,61.0,131,08:00,10:00,46,28401.29,10416.46,0,17984.83,6.41
2023-03-27,2023,3,27,Monday,100,58,42,58.0,85,12:00,14:00,34,13822.31,11223.85,0,2598.46,2.13
2023-03-28,2023,3,28,Tuesday,100,60,40,60.0,106,08:00,10:00,41,16773.59,10429.64,0,6343.95,2.11
2023-03-29,2023,3,29,Wednesday,100,59,41,59.0,94,12:00,14:00,32,14844.77,10085.01,0,4759.76,3.48
2023-03-30,2023,3,30,Thursday,100,58,42,58.0,75,12:00,14:00,29,12389.75,10706.65,2243.3,-560.2,3.37
2023-03-31,2023,3,31,Friday,100,50,50,50.0,91,17:00,20:00,24,15071.62,9749.18,0,5322.44,4.77
2023-04-01,2023,4,1,Saturday,100,69,31,69.0,113,17:00,20:00,36,27415.45,11591.61,11010.49,4813.35,5.79
2023-04-02,2023,4,2,Sunday,100,65,35,65.0,113,17:00,20:00,34,21470.64,11383.14,0,10087.5,5.51
2023-04-03,2023,4,3,Monday,100,59,41,59.0,117,17:00,20:00,39,25801.74,10655.57,0,15146.17,5.46
2023-04-04,2023,4,4,Tuesday,100,45,55,45.0,66,08:00,10:00,20,11171.98,9136.31,0,2035.67,4.95
2023-04-05,2023,4,5,Wednesday,100,50,50,50.0,97,17:00,20:00,37,25634.86,10320.37,0,15314.49,4.76
2023-04-06,2023,4,6,Thursday,100,57,43,57.0,113,08:00,10:00,34,17828.97,10505.87,0,7323.1,5.48
2023-04-07,2023,4,7,Friday,100,63,37,63.0,107,12:00,14:00,29,20365.02,10879.53,0,9485.49,1.78
2023-04-08,2023,4,8,Saturday,100,68,32,68.0,100,17:00,20:00,32,20536.51,11646.85,0,8889.66,5.42
2023-04-09,2023,4,9,Sunday,100,69,31,69.0,105,12:00,14:00,42,17033.47,11775.02,0,5258.45,3.31
2023-04-10,2023,4,10,Monday,100,67,33,67.0,98,08:00,10:00,35,21019.67,11961.96,3744.88,5312.83,3.6
2023-04-11,2023,4,11,Tuesday,100,62,38,62.0,107,12:00,14:00,37,20129.38,11711.55,0,8417.83,5.47
2023-04-12,2023,4,12,Wednesday,100,59,41,59.0,121,08:00,10:00,41,25759.39,10287.14,0,15472.25,2.03
2023-04-13,2023,4,13,Thursday,100,52,48,52.0,72,12:00,14:00,22,19040.07,10157.82,0,8882.25,4.05
2023-04-14,2023,4,14,Friday,100,58,42,58.0,77,12:00,14:00,25,18712.67,10894.44,5946.13,1872.1,2.62
2023-04-15,2023,4,15,Saturday,100,80,20,80.0,135,12:00,14:00,47,33046.69,11661.39,2227.56,19157.74,5.98
2023-04-16,2023,4,16,Sunday,100,86,14,86.0,183,17:00,20:00,60,37786.08,12632.13,0,25153.95,4.91
2023-04-17,2023,4,17,Monday,100,54,46,54.0,83,08:00,10:00,22,21220.85,10476.89,0,10743.96,4.33
2023-04-18,2023,4,18,Tuesday,100,64,36,64.0,118,08:00,10:00,46,23587.63,11509.82,2263.65,9814.16,2.01
2023-04-19,2023,4,19,Wednesday,100,55,45,55.0,104,12:00,14:00,40,26158.66,10741.52,0,15417.14,4.51
2023-04-20,2023,4,20,Thursday,100,51,49,51.0,114,08:00,10:00,35,27725.75,10702.5,0,17023.25,4.72
2023-04-21,2023,4,21,Friday,100,64,36,64.0,117,08:00,10:00,35,30456.65,11714.43,0,18742.22,3.1
2023-04-22,2023,4,22,Saturday,100,77,23,77.0,152,17:00,20:00,58,24228.65,12073.4,0,12155.25,3.44
2023-04-23,2023,4,23,Sunday,100,72,28,72.0,146,17:00,20:00,37,28689.32,11531.18,0,17158.14,3.12
2023-04-24,2023,4,24,Monday,100,58,42,58.0,129,17:00,20:00,36,29670.76,10604.52,0,19066.24,3.09
2023-04-25,2023,4,25,Tuesday,100,68,32,68.0,135,08:00,10:00,39,30731.59,11597.95,3140.25,15993.39,4.9
2023-04-26,2023,4,26,Wednesday,100,55,45,55.0,90,12:00,14:00,35,16311.86,10407.41,0,5904.45,3.01
2023-04-27,2023,4,27,Thursday,100,55,45,55.0,84,08:00,10:00,22,19772.95,10736.32,0,9036.63,4.44
2023-04-28,2023,4,28,Friday,100,63,37,63.0,113,08:00,10:00,30,21003.35,10844.11,0,10159.24,4.24
2023-04-29,2023,4,29,Saturday,100,75,25,75.0,116,17:00,20:00,40,19240.68,10961.41,0,8279.27,3.37
2023-04-30,2023,4,30,Sunday,100,79,21,79.0,151,12:00,14:00,47,34364.55,12638.91,0,21725.64,5.8
2023-05-01,2023,5,1,Monday,100,84,16,84.0,175,08:00,10:00,54,39562.9,11743.0,12397.8,15422.1,5.18
2023-05-02,2023,5,2,Tuesday,100,54,46,54.0,68,12:00,14:00,25,12236.18,10249.13,0,1987.05,1.35
2023-05-03,2023,5,3,Wednesday,100,56,44,56.0,82,08:00,10:00,23,13491.87,10911.81,0,2580.06,1.62
2023-05-04,2023,5,4,Thursday,100,52,48,52.0,105,08:00,10:00,37,19612.61,10013.15,0,9599.46,3.05
2023-05-05,2023,5,5,Friday,100,59,41,59.0,103,12:00,14:00,30,17033.31,10762.29,0,6271.02,2.78
2023-05-06,2023,5,6,Saturday,100,81,19,81.0,131,17:00,20:00,41,30436.84,11095.15,3098.22,16243.47,6.22
2023-05-07,2023,5,7,Sunday,100,75,25,75.0,140,12:00,14:00,52,32563.14,10431.09,0,22132.05,2.68
2023-05-08,2023,5,8,Monday,100,56,44,56.0,98,17:00,20:00,25,16978.43,10262.85,0,6715.58,3.66
2023-05-09,2023,5,9,Tuesday,100,48,52,48.0,78,08:00,10:00,28,16495.82,10201.98,0,6293.84,2.59
2023-05-10,2023,5,10,Wednesday,100,48,52,48.0,101,08:00,10:00,27,16414.73,10911.95,0,5502.78,4.16
2023-05-11,2023,5,11,Thursday,100,53,47,53.0,77,08:00,10:00,21,18243.79,9901.73,0,8342.06,4.83
2023-05-12,2023,5,12,Friday,100,56,44,56.0,97,12:00,14:00,31,25537.61,11227.24,0,14310.37,4.5
2023-05-13,2023,5,13,Saturday,100,63,37,63.0,127,08:00,10:00,50,28725.91,10717.63,0,18008.28,5.57
2023-05-14,2023,5,14,Sunday,100,79,21,79.0,145,17:00,20:00,37,24446.99,10817.26,0,13629.73,6.71
2023-05-15,2023,5,15,Monday,100,50,50,50.0,68,08:00,10:00,27,12871.65,10721.95,0,2149.7,5.5
2023-05-16,2023,5,16,Tuesday,100,60,40,60.0,123,12:00,14:00,46,26902.35,10546.32,0,16356.03,2.68
2023-05-17,2023,5,17,Wednesday,100,57,43,57.0,112,08:00,10:00,43,24233.64,10356.91,0,13876.73,3.23
2023-05-18,2023,5,18,Thursday,100,57,43,57.0,97,12:00,14:00,27,21603.79,10754.89,2523.06,8325.84,2.39
2023-05-19,2023,5,19,Friday,100,50,50,50.0,84,08:00,10:00,24,13996.11,9964.5,0,4031.61,4.6
2023-05-20,2023,5,20,Saturday,100,82,18,82.0,117,08:00,10:00,47,24718.5,11938.84,0,12779.66,6.53
2023-05-21,2023,5,21,Sunday,100,74,26,74.0,104,12:00,14:00,40,23920.5,11566.93,0,12353.57,5.15
2023-05-22,2023,5,22,Monday,100,55,45,55.0,87,12:00,14:00,24,18812.65,10501.65,0,8311.0,3.98
2023-05-23,2023,5,23,Tuesday,100,67,33,67.0,120,12:00,14:00,36,31284.2,10259.06,0,21025.14,1.64
2023-05-24,2023,5,24,Wednesday,100,53,47,53.0,85,08:00,10:00,33,14826.49,9867.75,4374.9,583.84,3.79
2023-05-25,2023,5,25,Thursday,100,48,52,48.0,86,12:00,14:00,22,16454.35,9852.25,0,6602.1,4.62
2023-05-26,2023,5,26,Friday,100,51,49,51.0,94,17:00,20:00,32,16879.13,9801.13,0,7078.0,2.02
2023-05-27,2023,5,27,Saturday,100,72,28,72.0,154,08:00,10:00,39,29066.27,11076.18,0,17990.09,6.27
2023-05-28,2023,5,28,Sunday,100,73,27,73.0,102,12:00,14:00,30,23582.7,11320.16,0,12262.54,5.27
2023-05-29,2023,5,29,Monday,100,50,50,50.0,87,17:00,20:00,25,18418.67,9814.54,0,8604.13,5.27
2023-05-30,2023,5,30,Tuesday,100,52,48,52.0,83,12:00,14:00,28,21660.54,9783.08,5273.51,6603.95,5.15
2023-05-31,2023,5,31,Wednesday,100,57,43,57.0,85,12:00,14:00,26,17444.54,10651.83,0,6792.71,4.64
2023-06-01,2023,6,1,Thursday,100,65,35,65.0,124,08:00,10:00,43,26653.67,9935.36,12768.34,3949.97,2.3
2023-06-02,2023,6,2,Friday,100,76,24,76.0,107,12:00,14:00,41,22603.07,11751.95,0,10851.12,5.37
2023-06-03,2023,6,3,Saturday,100,85,15,85.0,155,17:00,20:00,61,39604.73,12777.67,0,26827.06,6.25
2023-06-04,2023,6,4,Sunday,100,82,18,82.0,179,12:00,14:00,46,33727.34,12224.5,0,21502.84,4.96
2023-06-05,2023,6,5,Monday,100,46,54,46.0,95,12:00,14:00,26,15847.48,10023.41,0,5824.07,3.04
2023-06-06,2023,6,6,Tuesday,100,57,43,57.0,91,12:00,14:00,31,18335.61,10259.75,0,8075.86,3.49
2023-06-07,2023,6,7,Wednesday,100,61,39,61.0,100,12:00,14:00,29,19362.59,10813.37,0,8549.22,2.03
2023-06-08,2023,6,8,Thursday,100,64,36,64.0,109,12:00,14:00,42,25436.97,10607.12,0,14829.85,2.26
2023-06-09,2023,6,9,Friday,100,67,33,67.0,113,17:00,20:00,35,26639.22,11539.78,0,15099.44,3.69
2023-06-10,2023,6,10,Saturday,100,69,31,69.0,117,17:00,20:00,36,29961.14,11723.95,0,18237.19,2.98
2023-06-11,2023,6,11,Sunday,100,75,25,75.0,111,12:00,14:00,37,18628.34,11493.34,0,7135.0,4.86
2023-06-12,2023,6,12,Monday,100,52,48,52.0,79,08:00,10:00,23,12371.52,9482.69,0,2888.83,5.69
2023-06-13,2023,6,13,Tuesday,100,62,38,62.0,132,08:00,10:00,41,31793.84,11192.48,0,20601.36,3.05
2023-06-14,2023,6,14,Wednesday,100,65,35,65.0,87,17:00,20:00,33,15234.14,10728.72,0,4505.42,4.4
2023-06-15,2023,6,15,Thursday,100,90,10,90.0,119,12:00,14:00,42,29778.43,12636.37,0,17142.06,3.03
2023-06-16,2023,6,16,Friday,100,67,33,67.0,83,12:00,14:00,28,21950.81,11034.8,0,10916.01,4.06
2023-06-17,2023,6,17,Saturday,100,77,23,77.0,150,12:00,14:00,43,27166.49,10534.08,0,16632.41,4.8
2023-06-18,2023,6,18,Sunday,100,69,31,69.0,136,12:00,14:00,52,35949.77,10925.48,0,25024.29,6.4
2023-06-19,2023,6,19,Monday,100,67,33,67.0,109,12:00,14:00,43,28490.48,11267.67,0,17222.81,2.98
2023-06-20,2023,6,20,Tuesday,100,63,37,63.0,101,08:00,10:00,38,17461.94,10011.91,0,7450.03,2.2
2023-06-21,2023,6,21,Wednesday,100,60,40,60.0,116,17:00,20:00,44,19364.17,10276.62,2158.19,6929.36,2.24
2023-06-22,2023,6,22,Thursday,100,63,37,63.0,114,08:00,10:00,32,29111.9,11396.62,0,17715.28,2.16
2023-06-23,2023,6,23,Friday,100,67,33,67.0,102,12:00,14:00,29,26362.64,11113.02,0,15249.62,2.99
2023-06-24,2023,6,24,Saturday,100,70,30,70.0,128,17:00,20:00,46,30640.65,10699.03,0,19941.62,5.55
2023-06-25,2023,6,25,Sunday,100,86,14,86.0,158,17:00,20:00,46,27936.28,12000.22,0,15936.06,4.23
2023-06-26,2023,6,26,Monday,100,61,39,61.0,113,12:00,14:00,36,26696.74,10122.53,0,16574.21,5.41
2023-06-27,2023,6,27,Tuesday,100,67,33,67.0,136,08:00,10:00,51,21664.77,10452.55,0,11212.22,1.45
2023-06-28,2023,6,28,Wednesday,100,54,46,54.0,100,12:00,14:00,34,20931.65,9853.23,4888.77,6189.65,3.63
2023-06-29,2023,6,29,Thursday,100,58,42,58.0,118,12:00,14:00,46,20863.61,10661.95,0,10201.66,5.18
2023-06-30,2023,6,30,Friday,100,59,41,59.0,102,12:00,14:00,34,26975.69,11124.22,0,15851.47,4.18
2023-07-01,2023,7,1,Saturday,100,83,17,83.0,152,08:00,10:00,38,26619.95,11708.35,14263.54,648.06,5.8
2023-07-02,2023,7,2,Sunday,100,80,20,80.0,165,17:00,20:00,48,42546.77,10825.03,0,31721.74,6.1
2023-07-03,2023,7,3,Monday,100,54,46,54.0,110,12:00,14:00,39,21780.46,10099.5,0,11680.96,4.78
2023-07-04,2023,7,4,Tuesday,100,54,46,54.0,105,12:00,14:00,37,17369.62,10441.78,0,6927.84,2.99
2023-07-05,2023,7,5,Wednesday,100,62,38,62.0,90,12:00,14:00,23,17132.72,10337.83,0,6794.89,2.8
2023-07-06,2023,7,6,Thursday,100,55,45,55.0,107,08:00,10:00,31,17458.34,10379.7,3266.71,3811.93,1.76
2023-07-07,2023,7,7,Friday,100,65,35,65.0,106,08:00,10:00,29,18809.21,10938.18,0,7871.03,3.75
2023-07-08,2023,7,8,Saturday,100,69,31,69.0,138,08:00,10:00,43,33429.89,11410.64,0,22019.25,3.17
2023-07-09,2023,7,9,Sunday,100,76,24,76.0,121,12:00,14:00,31,24767.57,11598.32,0,13169.25,5.49
2023-07-10,2023,7,10,Monday,100,52,48,52.0,89,08:00,10:00,22,17946.17,10424.5,0,7521.67,4.52
2023-07-11,2023,7,11,Tuesday,100,70,30,70.0,89,08:00,10:00,35,16030.29,12044.64,0,3985.65,3.98
2023-07-12,2023,7,12,Wednesday,100,70,30,70.0,110,08:00,10:00,40,21933.4,10918.65,0,11014.75,1.6
2023-07-13,2023,7,13,Thursday,100,58,42,58.0,74,12:00,14:00,28,12471.15,10875.83,0,1595.32,2.32
2023-07-14,2023,7,14,Friday,100,55,45,55.0,104,08:00,10:00,41,21676.75,10886.12,2147.06,8643.57,5.15
2023-07-15,2023,7,15,Saturday,100,75,25,75.0,129,17:00,20:00,34,23821.36,10581.17,0,13240.19,4.96
2023-07-16,2023,7,16,Sunday,100,70,30,70.0,157,12:00,14:00,39,28828.64,10832.91,0,17995.73,3.81
2023-07-17,2023,7,17,Monday,100,51,49,51.0,100,08:00,10:00,40,20823.95,11209.58,0,9614.37,2.36
2023-07-18,2023,7,18,Tuesday,100,57,43,57.0,90,12:00,14:00,29,18571.85,10188.69,0,8383.16,2.11
2023-07-19,2023,7,19,Wednesday,100,58,42,58.0,119,17:00,20:00,43,25292.44,10115.0,0,15177.44,4.17
2023-07-20,2023,7,20,Thursday,100,63,37,63.0,111,12:00,14:00,42,22832.74,10263.77,0,12568.97,4.97
2023-07-21,2023,7,21,Friday,100,63,37,63.0,132,08:00,10:00,39,27063.33,10870.09,3554.56,12638.68,3.0
2023-07-22,2023,7,22,Saturday,100,82,18,82.0,143,08:00,10:00,50,35226.97,11715.63,0,23511.34,3.49
2023-07-23,2023,7,23,Sunday,100,82,18,82.0,151,12:00,14:00,41,29786.05,11761.92,0,18024.13,4.31
2023-07-24,2023,7,24,Monday,100,57,43,57.0,90,12:00,14:00,23,17514.31,10458.6,0,7055.71,3.4
2023-07-25,2023,7,25,Tuesday,100,54,46,54.0,108,12:00,14:00,30,23649.77,10337.78,0,13311.99,2.22
2023-07-26,2023,7,26,Wednesday,100,50,50,50.0,102,12:00,14:00,27,17252.69,10199.44,0,7053.25,4.95
2023-07-27,2023,7,27,Thursday,100,56,44,56.0,95,12:00,14:00,33,17627.63,9948.06,0,7679.57,3.85
2023-07-28,2023,7,28,Friday,100,70,30,70.0,106,17:00,20:00,36,20896.63,11418.63,0,9478.0,4.9
2023-07-29,2023,7,29,Saturday,100,81,19,81.0,138,17:00,20:00,38,36375.15,12107.42,0,24267.73,5.65
2023-07-30,2023,7,30,Sunday,100,85,15,85.0,148,08:00,10:00,43,33975.34,11361.07,5045.89,17568.38,5.42
2023-07-31,2023,7,31,Monday,100,52,48,52.0,81,12:00,14:00,26,18531.99,9675.73,0,8856.26,3.3
2023-08-01,2023,8,1,Tuesday,100,52,48,52.0,109,17:00,20:00,29,28653.16,10859.73,9524.81,8268.62,2.79
2023-08-02,2023,8,2,Wednesday,100,61,39,61.0,129,08:00,10:00,43,28078.8,10515.5,0,17563.3,3.92
2023-08-03,2023,8,3,Thursday,100,61,39,61.0,130,08:00,10:00,41,34353.96,11872.33,0,22481.63,1.8
2023-08-04,2023,8,4,Friday,100,64,36,64.0,119,08:00,10:00,36,30266.9,10588.35,0,19678.55,3.65
2023-08-05,2023,8,5,Saturday,100,80,20,80.0,121,08:00,10:00,41,25953.04,10728.54,0,15224.5,5.4
2023-08-06,2023,8,6,Sunday,100,74,26,74.0,103,17:00,20:00,27,20361.49,11393.4,0,8968.09,5.91
